,parameter,newspaper,title,date,date_policy,search_,type_newspaper
121,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419666, Decretan España y Portugal estado de alarma por el Covid-19, 2020-03-13T09:09:39,,                          lajornadasanluis.com.mx-?p=419666, wordpress
122,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419653, Pide AMLO no dejarse llevar por rumores sobre coronavirus, 2020-03-13T08:42:57,,                          lajornadasanluis.com.mx-?p=419653, wordpress
123,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419611, Sube a 15 la cifra de casos confirmados de Covid-19 en México: Ssa, 2020-03-12T19:55:58,,                          lajornadasanluis.com.mx-?p=419611, wordpress
124,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419571, Cierran capital de Filipinas a causa del Covid-19, 2020-03-12T17:41:09,,                          lajornadasanluis.com.mx-?p=419571, wordpress
125,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419516, Por Covid-19 Perú cancela espectáculos con más de 300 personas, 2020-03-12T14:48:46,,                          lajornadasanluis.com.mx-?p=419516, wordpress
126,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419509, Cierra Francia todas sus escuelas por coronavirus, 2020-03-12T14:35:53,,                          lajornadasanluis.com.mx-?p=419509, wordpress
127,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419376, En 15 días posible expansión comunitaria de Covid-19 en México: Ssa, 2020-03-12T08:44:55,,                          lajornadasanluis.com.mx-?p=419376, wordpress
128,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419347, Cuba: confirman a 3 turistas italianos con coronavirus, 2020-03-11T21:56:25,,                          lajornadasanluis.com.mx-?p=419347, wordpress
129,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419178, En 15 países vacaciones forzadas a 363 millones de alumnos por Covid-19, 2020-03-11T09:11:47,,                          lajornadasanluis.com.mx-?p=419178, wordpress
130,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419069, Por Covid-19 universidades de EU cierran y dan cursos en línea, 2020-03-10T14:54:40,,                          lajornadasanluis.com.mx-?p=419069, wordpress
131,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419050, Despliega Nueva York a la Guardia Nacional para contener al Covid-19, 2020-03-10T13:09:18,,                          lajornadasanluis.com.mx-?p=419050, wordpress
132,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=419014, Grecia cierra escuelas y universidades ante el coronavirus, 2020-03-10T11:49:08,,                          lajornadasanluis.com.mx-?p=419014, wordpress
133,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=418854, Coronavirus avanza paraliza ciudades y azota mercados en &#8216;lunes negro&#8217;, 2020-03-09T15:13:12,,                          lajornadasanluis.com.mx-?p=418854, wordpress
134,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=418088, Muere segunda víctima de coronavirus en España, 2020-03-04T13:48:03,,                          lajornadasanluis.com.mx-?p=418088, wordpress
135,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=418037, Cierra Italia todas las escuelas y universidades por coronavirus, 2020-03-04T08:38:44,,                          lajornadasanluis.com.mx-?p=418037, wordpress
136,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=417748, “Inevitable” la propagación del coronavirus en NY: Cuomo, 2020-03-02T12:11:21,,                          lajornadasanluis.com.mx-?p=417748, wordpress
137,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=417551, Convoca gobierno de SLP a atender medidas preventivas contra el coronavirus, 2020-02-29T14:20:31,,                          lajornadasanluis.com.mx-?p=417551, wordpress
138,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=417409, Advierte OMS de «riesgo muy alto» por coronavirus, 2020-02-28T15:05:09,,                          lajornadasanluis.com.mx-?p=417409, wordpress
139,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=417327, Dos casos de Covid19 en México; uno confirmado otro en estudio, 2020-02-28T08:19:16,,                          lajornadasanluis.com.mx-?p=417327, wordpress
140,escuelas coronavirus, https://lajornadasanluis.com.mx/?p=417112, Suspende Arabia Saudita entrada a la Meca por temor al coronavirus, 2020-02-27T09:33:25,,                          lajornadasanluis.com.mx-?p=417112, wordpress
